Name,Disaster,BeginDate,EndDate,Cost,Deaths,Year,disasterType,impactScale
"Winter Storm, Cold Wave (January 1985)",Winter Storm,19850119,19850122,2,150,1985,8,10
Hurricane Fran (September 1996),Tropical Cyclone,19960905,19960908,8,37,1996,5,10
Hurricane Gustav (September 2008),Tropical Cyclone,20080831,20080903,7,53,2008,5,15
Southeast Drought/Heatwave (Summer 1986),Drought,19860601,19860831,4,100,1986,1,15
Hurricane Isabel (September 2003),Tropical Cyclone,20030918,20030919,8,55,2003,5,15
Hurricane Matthew (October 2016),Tropical Cyclone,20161008,20161012,11,49,2016,5,15
Tropical Storm Allison (June 2001),Tropical Cyclone,20010605,20010617,12,43,2001,5,15
Western/Plains Drought/Heatwave (Spring-Fall 2013),Drought,20130301,20131130,11,53,2013,1,15
Hurricane Frances (September 2004),Tropical Cyclone,20040903,20040909,13,48,2004,5,15
Hurricane Irene (August 2011),Tropical Cyclone,20110826,20110828,15,45,2011,5,15
Hurricane Charley (August 2004),Tropical Cyclone,20040813,20040814,21,35,2004,5,15
Hurricane Floyd (September 1999),Tropical Cyclone,19990914,19990916,10,77,1999,5,15
"Freeze, Cold Wave (December 1983)",Freeze,19831215,19831225,5,151,1983,3,15
Hurricane Wilma (October 2005),Tropical Cyclone,20051024,20051024,25,35,2005,5,15
Blizzard/Floods (January 1996),Winter Storm,19960101,19960131,5,187,1996,8,15
"Western Wildfires, California Firestorm (Summer-Fall 2017)",Wildfire,20170601,20171231,18,54,2017,6,15
Western/Central/Southeast Drought/Heatwave (Spring-Fall 2000),Drought,20000301,20001130,7,140,2000,1,20
Southern Drought/Heat Wave (Summer 1998),Drought,19980601,19980831,5,200,1998,1,20
Southern Plains/Southwest Drought & Heat Wave (Spring-Summer 2011),Drought,20110301,20110831,14,95,2011,1,20
Hurricane Ivan (September 2004),Tropical Cyclone,20040912,20040921,27,57,2004,5,20
Hurricane Hugo (September 1989),Tropical Cyclone,19890921,19890922,19,86,1989,5,20
Midwest Flooding (Summer 1993),Flooding,19930627,19930815,37,48,1993,2,20
Midwest/Southeast Tornadoes (May 2011),Severe Storm,20110522,20110527,10,177,2011,4,20
Eastern Drought/Heatwave (Summer 1999),Drought,19990601,19990831,4,502,1999,1,20
East Coast Blizzard and Severe Weather (March 1993),Winter Storm,19930311,19930314,10,270,1993,8,25
